,piece,current_position,next_position,skip,reward
145,"(255, 0, 0)","(1, 2)","(2, 1)",-,0
146,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
147,"(255, 0, 0)","(1, 2)","(2, 3)",-,0
148,"(255, 0, 0)","(2, 3)","(3, 2)",-,0
149,"(255, 0, 0)","(3, 2)","(2, 1)",-,0
150,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
151,"(255, 0, 0)","(1, 2)","(2, 1)",-,0
152,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
153,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
154,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
155,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
156,"(255, 0, 0)","(2, 5)","(3, 4)",-,0
157,"(255, 0, 0)","(3, 4)","(2, 3)",-,0
158,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
159,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
160,"(255, 0, 0)","(2, 3)","(3, 4)",-,0
161,"(255, 0, 0)","(3, 4)","(4, 5)",-,0
162,"(255, 0, 0)","(4, 5)","(5, 4)",-,0
163,"(255, 0, 0)","(5, 4)","(4, 5)",-,0
164,"(255, 0, 0)","(4, 5)","(5, 4)",-,0
165,"(255, 0, 0)","(5, 4)","(4, 3)",-,0
166,"(255, 0, 0)","(4, 3)","(3, 2)",-,0
167,"(255, 0, 0)","(3, 2)","(4, 1)",-,0
168,"(255, 0, 0)","(4, 1)","(5, 0)",-,0
169,"(255, 0, 0)","(5, 0)","(6, 1)",-,0
170,"(255, 0, 0)","(6, 1)","(7, 0)",-,4
171,"(255, 0, 0)","(7, 0)","(6, 1)",-,0
172,"(255, 0, 0)","(6, 1)","(7, 0)",-,4
173,"(255, 0, 0)","(7, 0)","(6, 1)",-,0
174,"(255, 0, 0)","(6, 1)","(7, 0)",-,4
175,"(255, 0, 0)","(7, 0)","(6, 1)",-,0
176,"(255, 0, 0)","(6, 1)","(7, 2)",-,4
177,"(255, 0, 0)","(7, 2)","(6, 3)",-,0
178,"(255, 0, 0)","(6, 3)","(7, 2)",-,4
179,"(255, 0, 0)","(7, 2)","(6, 3)",-,0
180,"(255, 0, 0)","(6, 3)","(7, 2)",-,4
181,"(255, 0, 0)","(7, 2)","(6, 1)",-,0
182,"(255, 0, 0)","(6, 1)","(2, 1)","[(255, 255, 255), (255, 255, 255)]",80
183,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
